vOTU	MI02	MI09	MI13	MI20	MII02	MII09	MII13	MII20	MIII02	MIII09	MIII13	MIII20
vsNODE157_02	7539	1585	0	0	8476	1897	0	0	8258	4056	0	0
vsNODE157_03	0	0	803	4323	0	0	0	6022	0	0	0	5446
vsNODE159_01	1733	4103	0	0	1837	4787	0	0	1750	8916	0	0
vsNODE159_02	2100	3862	0	0	1631	4413	0	0	0	8815	0	0
vsNODE159_03	0	0	822	4045	0	0	696	5524	0	0	0	5072
vsNODE159_04	0	0	668	3610	0	0	0	3666	0	0	0	2609
vsNODE159_05	29236	1179	0	0	25102	2321	0	0	25844	2378	0	0
vsNODE159_06	4745	0	0	0	3250	0	0	0	4983	1203	0	0
vsNODE16_01	0	11400	0	0	0	10001	0	0	0	9254	0	0
vsNODE160_01	0	3950	0	0	0	3905	0	0	0	2864	0	0
vsNODE161_01	0	0	2375	8980	0	0	2046	6671	0	0	1783	6292
vsNODE163_01	0	0	2515	4890	0	0	2097	4443	0	0	2525	4326
vsNODE165_01	0	0	4147	7467	0	0	3420	6628	0	0	3367	7177
vsNODE165_02	0	2691	0	0	0	2145	0	0	0	1511	0	0
vsNODE168_01	0	0	1846	3732	0	0	1451	2682	0	0	1103	2516
vsNODE17_01	7936	0	0	0	9284	0	0	0	10540	2759	0	0
vsNODE17_02	4358	0	0	0	2800	0	0	0	3417	0	0	0
vsNODE170_01	0	4753	0	0	0	5628	0	0	0	5475	0	0
vsNODE170_02	0	4208	0	0	0	4991	0	0	0	9270	0	0
vsNODE171_01	0	0	3286	3303	0	0	3844	3147	0	0	4932	3342
vsNODE171_02	15099	1510	0	0	16579	2117	0	0	16065	3308	0	0
vsNODE172_01	0	8578	0	0	0	6970	0	0	0	5105	0	0
vsNODE172_02	14371	1381	0	0	14987	1897	0	0	15445	2337	0	0
vsNODE173_01	0	6888	3338	11454	0	6009	2485	8599	0	4682	2204	8194
vsNODE173_02	5416	2260	0	0	5654	3310	0	0	5129	7337	0	0
vsNODE18_01	12901	1743	0	0	13681	2141	0	0	13991	4216	0	0
vsNODE181_01	0	0	1610	5432	0	0	1710	7266	0	0	2045	7674
vsNODE181_02	5141	0	0	0	4746	0	0	0	4367	0	0	0
vsNODE182_01	0	2421	0	0	0	2305	0	0	0	2764	0	0
vsNODE183_01	0	1973	21579	32371	0	0	16830	25819	0	1251	18461	25484
vsNODE184_01	0	0	5951	18195	0	0	5721	15311	0	0	6387	14198
vsNODE185_01	0	4002	0	0	0	3134	0	0	0	2556	0	0
vsNODE187_01	35277	1761	0	0	34193	1926	0	0	33727	3274	0	0
vsNODE188_01	1838	4038	0	0	1530	4834	0	0	0	9310	0	0
vsNODE19_01	1220	3413	0	0	0	4620	0	0	0	5734	0	0
vsNODE191_01	0	0	0	4064	0	0	0	3552	0	0	0	3019
vsNODE194_01	0	4977	0	0	0	3381	0	0	0	2823	0	0
vsNODE195_01	10499	1816	2822	28842	13160	0	3204	10738	9643	1750	3264	13113
vsNODE196_01	0	2519	0	0	0	2402	0	0	0	3277	0	0
vsNODE197_01	10747	1736	0	0	11475	2241	0	0	11470	4715	0	0
vsNODE200_01	0	15968	666	2102	0	12048	0	1164	0	12300	0	0
vsNODE203_01	0	6915	0	0	0	5708	0	0	0	8758	0	0
